LDF,"Latin American Discovery Fund, Inc. (The) Common Stock"
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc."
LGI,Lazard Global Total Return and Income Fund Common Stock
LOR,"Lazard World Dividend & Income Fund, Inc. Common Stock"
MCA,"Blackrock MuniYield California Quality Fund, Inc. Common Stock"
MCN,Madison Covered Call & Equity Strategy Fund Common Stock
MEN,"Blackrock MuniEnhanced Fund, Inc Common Stock"
MFL,Blackrock MuniHoldings Investment Quality Fund Common Shares of Beneficial Interest
MFT,Blackrock MuniYield Investment Quality Fund Common Shares of Beneficial Interest
MGU,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock
MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock"
MHF,"Western Asset Municipal High Income Fund, Inc. Common Stock"
MHN,"Blackrock MuniHoldings New York Quality Fund, Inc. Common Stock"
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc. Common Stock"
MIY,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock"
MMD,MainStay DefinedTerm Municipal Opportunities Fund Common Shares of Beneficial Interest
MMU,"Western Asset Managed Municipals Fund, Inc. Common Stock"
MNE,Blackrock Muni New York Intermediate Duration Fund Inc Common Stock
MNP,"Western Asset Municipal Partners Fund, Inc. Common Stock"
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock
MQT,"Blackrock MuniYield Quality Fund II, Inc. Common Stock"
MQY,"Blackrock MuniYield Quality Fund, Inc. Common Stock"
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc. Common Stock"
MSF,"Morgan Stanley Emerging Markets Fund, Inc. Common Stock"
MSP,Madison Strategic Sector Premium Fund Madison Strategic Sector Premium Fund Common Shares of Beneficial Interest
MUA,"Blackrock MuniAssets Fund, Inc Common Stock"
MUC,"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock"
MUE,"Blackrock MuniHoldings Quality Fund II, Inc. Common Stock"
MUH,"Blackrock MuniHoldings Fund II, Inc. Common Stock"
MUI,Blackrock Muni Intermediate Duration Fund Inc Common Stock
MUJ,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock"
MUS,"Blackrock MuniHoldings Quality Fund, Inc Common Stock"
MVT,"Blackrock MuniVest Fund II, Inc.  Common Stock"
MXE,"Mexico Equity and Income Fund, Inc. (The) Common Stock"
MXF,"Mexico Fund, Inc. (The) Common Stock"
MYC,"Blackrock MuniYield California Fund, Inc. Common Stock"
MYD,"Blackrock MuniYield Fund, Inc.  Common Stock"
MYF,Blackrock MuniYield Investment Fund Common Stock
MYI,"Blackrock MuniYield Quality Fund III, Inc Common Stock"
MYJ,"Blackrock MuniYield New Jersey Fund, Inc Common Stock"
MYN,"Blackrock MuniYield New York Quality Fund, Inc.Common Stock"
MZF,Managed Duration Investment Grade Municipal Fund
NAC,Nuveen California Quality Municipal Income Fund
NAD,Nuveen Quality Municipal Income Fund Common Stock
NAN,Nuveen New York Quality Municipal Income Fund Common Stock
NAZ,Nuveen Arizona Quality Municipal Income Fund Common Stock
NBB,Nuveen Build America Bond Fund Common Shares of Beneficial Interest
NBD,Nuveen Build America Bond Opportunity Fund Common Shares of Beneficial Interest
NCA,"Nuveen California Municipal Value Fund, Inc. Common Stock"
NCB,Nuveen California Municipal Value Fund 2 Common Shares of Beneficial Interest
NCV,AllianzGI Convertible & Income Fund
NCZ,AllianzGI Convertible & Income Fund II Common Shares of Beneficial Interest
NDP,"Tortoise Energy Independence Fund, Inc. Common Stock"
NEV,Nuveen Enhanced Municipal Value Fund Common Shares of Beneficial Interest
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund"
NHA,Nuveen Municipal 2021 Target Term Fund Fund
NHF,NexPoint Credit Strategies Fund
NID,Nuveen Intermediate Duration Municipal Term Fund Common Shares of Beneficial Interest
NIE,AllianzGI Equity & Convertible Income Fund
NIM,Nuveen Select Maturities Municipal Fund Common Stock
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund Common Shares of Beneficial Interest
NKG,Nuveen Georgia Quality Municipal Income Fund 
NMI,"Nuveen Municipal Income Fund, Inc. Common Stock"
NMS,Nuveen Minnesota Quality Municipal Income Fund 
NMT,Nuveen Massachusetts Quality Municipal Income Fund Common Stock
NMY,Nuveen Maryland Quality Municipal Income Fund Common Stock
NMZ,"Nuveen Municipal High Income Opportunity Fund Common Stock, $0.01 par value, per share"
NNC,Nuveen North Carolina Quality Municipal Income Fund Common Stock
NNY,"Nuveen New York Municipal Value Fund, Inc. Common Stock"
NOM,Nuveen Missouri Quality Municipal Income Fund 
NPV,Nuveen Virginia Quality Municipal Income Fund Common Stock
NQP,Nuveen Pennsylvania Quality Municipal Income Fund Common Stock
NSL,Nuveen Senior Income Fund Common Stock
NTC,Nuveen Connecticut Quality Municipal Income Fund Common Stock
NTG,"Tortoise MLP Fund, Inc. Common Stock"
NTX,Nuveen Texas Quality Municipal Income Fund Common Stock
NUM,Nuveen Michigan Quality Municipal Income Fund Common Stock
NUO,Nuveen Ohio Quality Municipal Income Fund Common Stock
NUV,"Nuveen Municipal Value Fund, Inc. Common Stock"
NXJ,Nuveen New Jersey Qualified Municipal Fund 
NYV,Nuveen New York Municipal Value Fund 2 Common Shares of Beneficial Interest
NZF,Nuveen Municipal Credit Income Fund 
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. Common Stock"
PAI,Western Asset Income Fund Common Stock
PCF,Putnam High Income Securities Fund Common Stock
PCI,PIMCO Dynamic Credit and Mortgage Income Fund Common Shares of Beneficial Interest
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest
PCM,"PCM Fund, Inc. Common Stock"
PCN,Pimco Corporate & Income Strategy Fund Common Stock
PCQ,PIMCO California Municipal Income Fund Common Stock
PDI,PIMCO Dynamic Income Fund Common Stock
PDT,John Hancock Premium Dividend Fund
PEO,"Adams Natural Resources Fund, Inc. Common Stock"
PFD,Flaherty & Crumrine Preferred Income Fund Incorporated Common Stock
PFL,PIMCO Income Strategy Fund Shares of Beneficial Interest
PFN,PIMCO Income Strategy Fund II
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated Common Stock
PGP,Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest
PGZ,Principal Real Estate Income Fund Common Shares of Beneficial Interest
PHK,Pimco High Income Fund Pimco High Income Fund
PKO,Pimco Income Opportunity Fund Common Shares of Beneficial Interest
PMF,PIMCO Municipal Income Fund Common Stock
PML,Pimco Municipal Income Fund II Common Shares of Beneficial Interest
PMX,PIMCO Municipal Income Fund III Common Shares of Beneficial Interest
PNF,PIMCO New York Municipal Income Fund Common Stock
PNI,Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest
PPX,"PPL Capital Funding, Inc. 2013 Series B Junior Subordinated Notes due 2073"
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock"
PTY,Pimco Corporate & Income Opportunity Fund
PYN,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest
PZC,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest
RA,Brookfield Real Assets Income Fund Inc. Common Stock
RCS,"PIMCO Strategic Income Fund, Inc."
RFI,"Cohen & Steers Total Return Realty Fund, Inc. Common Stock"
RIV,"RiverNorth Opportunities Fund, Inc. Common Stock"
RNP,Cohen & Steers Reit and Preferred Income Fund Inc Common Shares
RQI,Cohen & Steers Quality Income Realty Fund Inc Common Shares
SCD,LMP Capital and Income Fund Inc. Common Stock
SGF,"Aberdeen Singapore Fund, Inc. Common Stock"
SPE,"Special Opportunities Fund, Inc Common Stock"
SPE$B,"Special Opportunities Fund Inc. 3.50% Convertible Preferred Stock, Series B"
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund
SRF,Cushing Energy Income Fund Common Shares of Beneficial Interest
SRV,The Cushing MLP Total Return Fund Common Shares of Beneficial Interest
STK,Columbia Seligman Premium Technology Growth Fund Inc
SWZ,"Swiss Helvetia Fund, Inc. (The) Common Stock"
SZC,Cushing Renaissance Fund (The) Common Shares of Beneficial Interest
TDF,"Templeton Dragon Fund, Inc. Common Stock"
TEI,"Templeton Emerging Markets Income Fund, Inc. Common Stock"
THQ,Tekla Healthcare Opportunies Fund Shares of Beneficial Interest
THW,Tekla World Healthcare Fund Shares of Beneficial Interest
TKF,"Turkish Investment Fund, Inc. (The) Common Stock"
TLI,Western Asset Corporate Loan Fund Inc Common Stock
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc Common Stock"
TSI,"TCW Strategic Income Fund, Inc. Common Stock"
TSLF,THL Credit Senior Loan Fund Common Shares of Beneficial Interest
TTF,"Thai Fund, Inc. (The) Common Stock"
TTP,"Tortoise Pipeline & Energy Fund, Inc. Common Stock"
TWN,"Taiwan Fund, Inc. (The) Common Stock"
UTF,"Cohen & Steers Infrastructure Fund, Inc Common Stock"
VBF,Invesco Bond Fund Common Stock
VTA,Invesco Credit Opportunities Fund Common Shares of Beneficial Interest
WEA,Western Asset Bond Fund Share of Beneficial Interest
ZF,Virtus Total Return Fund Inc. Common Stock
ZTR,Virtus Global Dividend & Income Fund Inc. Common Stock
